Fecha,Anio,Mes,Estacion,Temperatura,Humedad,BrilloSolar
2021-02-01,2021,2,2120639,24.33814811706543,75.58797454833984,184.4534454345703
2021-03-01,2021,3,2120639,23.773555755615234,77.99150848388672,166.99192810058594
2021-04-01,2021,4,2120639,23.7680721282959,83.25081634521484,129.6871795654297
2021-05-01,2021,5,2120639,23.554166793823242,80.26423645019531,145.59072875976562
2021-06-01,2021,6,2120639,23.01215362548828,75.97129821777344,125.77101135253906
2021-07-01,2021,7,2120639,23.76999855041504,68.87352752685547,156.9319305419922
2021-08-01,2021,8,2120639,25.185386657714844,63.58369827270508,198.849853515625
2021-09-01,2021,9,2120639,24.44417381286621,66.88036346435547,142.6876983642578
2021-10-01,2021,10,2120639,23.748701095581055,76.66159057617188,138.90036010742188
2021-11-01,2021,11,2120639,23.829721450805664,81.42586517333984,148.3226318359375
2021-12-01,2021,12,2120639,23.9311580657959,76.39679718017578,184.09091186523438
2021-01-01,2021,1,2120630,13.180607795715332,76.20917510986328,92.68821716308594
2021-02-01,2021,2,2120630,13.312010765075684,77.74639892578125,138.125732421875
2021-03-01,2021,3,2120630,14.187125205993652,81.80179595947266,121.82980346679688
2021-04-01,2021,4,2120630,13.419086456298828,71.30475616455078,105.6002426147461
2021-05-01,2021,5,2120630,14.04848575592041,76.26677703857422,127.25946044921875
2021-06-01,2021,6,2120630,12.310784339904785,70.1343002319336,116.01834869384766
2021-07-01,2021,7,2120630,10.011192321777344,79.82520294189453,88.89007568359375
2021-08-01,2021,8,2120630,11.387520790100098,74.79371643066406,134.70599365234375
2021-09-01,2021,9,2120630,12.113971710205078,80.59181213378906,155.82786560058594
2021-10-01,2021,10,2120630,12.0918550491333,75.5274887084961,48.543609619140625
2021-11-01,2021,11,2120630,12.259639739990234,73.5001449584961,109.10504913330078
2021-12-01,2021,12,2120630,10.983607292175293,68.41682434082031,133.2038116455078
2021-01-01,2021,1,2120646,22.494712829589844,82.22028350830078,163.4973907470703
2021-02-01,2021,2,2120646,23.8847599029541,76.5211410522461,186.9503173828125
2021-03-01,2021,3,2120646,23.352914810180664,80.25863647460938,163.4435577392578
2021-04-01,2021,4,2120646,23.44577407836914,76.60198974609375,119.55764770507812
2021-05-01,2021,5,2120646,23.32969093322754,79.83428955078125,107.95340728759766
2021-06-01,2021,6,2120646,22.742216110229492,77.64434814453125,118.82962036132812
2021-07-01,2021,7,2120646,23.189599990844727,73.8407211303711,143.23388671875
2021-08-01,2021,8,2120646,23.066312789916992,68.32657623291016,170.55284118652344
2021-09-01,2021,9,2120646,23.215299606323242,70.3719482421875,139.76513671875
2021-10-01,2021,10,2120646,22.54161834716797,75.85999298095703,132.55955505371094
2021-11-01,2021,11,2120646,22.229114532470703,80.7116470336914,127.86730194091797
2021-12-01,2021,12,2120646,21.909820556640625,72.96890258789062,161.3602752685547
2021-01-01,2021,1,2120641,24.887239456176758,74.63733673095703,147.59906005859375
2021-02-01,2021,2,2120641,25.851598739624023,75.17643737792969,144.57647705078125
2021-03-01,2021,3,2120641,24.670896530151367,69.37541198730469,124.82381439208984
2021-04-01,2021,4,2120641,25.133005142211914,70.70932006835938,106.29779815673828
2021-05-01,2021,5,2120641,23.96624183654785,73.31925964355469,120.80622863769531
2021-06-01,2021,6,2120641,24.097442626953125,63.97716522216797,96.05879974365234
2021-07-01,2021,7,2120641,21.688232421875,64.394775390625,125.25534057617188
2021-08-01,2021,8,2120641,22.816774368286133,64.42564392089844,175.4492950439453
2021-09-01,2021,9,2120641,21.394695281982422,64.474609375,118.19640350341797
2021-10-01,2021,10,2120641,20.839344024658203,70.49292755126953,131.61131286621094
2021-11-01,2021,11,2120641,24.763164520263672,76.13653564453125,127.03594207763672
2021-12-01,2021,12,2120641,23.904085159301758,74.21842956542969,132.0779571533203
2021-01-01,2021,1,2120644,26.506349563598633,65.63682556152344,183.4160919189453
2021-02-01,2021,2,2120644,28.36834716796875,65.45691680908203,206.6516876220703
2021-03-01,2021,3,2120644,26.575389862060547,72.81034088134766,167.03688049316406
2021-04-01,2021,4,2120644,26.87726593017578,77.78103637695312,168.2045440673828
2021-05-01,2021,5,2120644,26.814151763916016,76.19693756103516,181.65171813964844
2021-06-01,2021,6,2120644,26.834503173828125,62.642066955566406,171.86422729492188
2021-07-01,2021,7,2120644,26.552600860595703,63.66316604614258,207.9336700439453
2021-08-01,2021,8,2120644,29.913646697998047,58.47045135498047,245.20834350585938
2021-09-01,2021,9,2120644,29.9265193939209,57.825843811035156,216.94515991210938
2021-10-01,2021,10,2120644,27.48314094543457,66.74470520019531,176.5664825439453
2021-11-01,2021,11,2120644,26.081138610839844,70.92495727539062,137.0889129638672
2021-12-01,2021,12,2120644,26.119043350219727,63.76780700683594,204.55978393554688
2021-01-01,2021,1,2120647,17.57108497619629,82.5515365600586,175.6761932373047
2021-02-01,2021,2,2120647,21.689661026000977,86.45600128173828,158.9214324951172
2021-03-01,2021,3,2120647,20.818376541137695,87.25133514404297,118.66017150878906
2021-04-01,2021,4,2120647,20.634584426879883,90.31002044677734,114.33971405029297
2021-05-01,2021,5,2120647,20.990381240844727,89.000732421875,109.22695922851562
2021-06-01,2021,6,2120647,18.43901824951172,88.37520599365234,98.9606704711914
2021-07-01,2021,7,2120647,21.10883331298828,83.16705322265625,132.81039428710938
2021-08-01,2021,8,2120647,20.591806411743164,75.83035278320312,170.74099731445312
2021-09-01,2021,9,2120647,20.768352508544922,76.45723724365234,166.22647094726562
2021-10-01,2021,10,2120647,21.552221298217773,79.18746185302734,143.25831604003906
2021-11-01,2021,11,2120647,20.932682037353516,84.85276794433594,107.5374526977539
2021-12-01,2021,12,2120647,20.852230072021484,79.76615142822266,137.48916625976562
2021-01-01,2021,1,2119514,18.894744873046875,79.679443359375,136.38198852539062
2021-02-01,2021,2,2119514,19.726783752441406,80.1628189086914,140.45346069335938
2021-03-01,2021,3,2119514,19.71550941467285,73.66149139404297,125.543212890625
2021-04-01,2021,4,2119514,17.947797775268555,71.2667236328125,82.18846130371094
2021-05-01,2021,5,2119514,19.206296920776367,78.33907318115234,90.82347869873047
2021-06-01,2021,6,2119514,18.726215362548828,68.2601089477539,105.58048248291016
2021-07-01,2021,7,2119514,17.55584716796875,66.21637725830078,116.9958267211914
2021-08-01,2021,8,2119514,18.888442993164062,66.97676086425781,138.1448516845703
2021-09-01,2021,9,2119514,18.915699005126953,63.955081939697266,118.0552978515625
2021-10-01,2021,10,2119514,18.18450355529785,71.65957641601562,120.293212890625
2021-11-01,2021,11,2119514,17.80166244506836,76.47867584228516,104.15203094482422
2021-12-01,2021,12,2119514,18.326555252075195,73.17204284667969,119.4635238647461
2021-01-01,2021,1,2306517,20.023845672607422,80.45317840576172,114.84944152832031
2021-02-01,2021,2,2306517,21.78036880493164,79.66744995117188,149.83944702148438
2021-03-01,2021,3,2306517,20.35405731201172,74.99159240722656,128.58438110351562
2021-04-01,2021,4,2306517,22.24535369873047,77.85850524902344,139.96453857421875
2021-05-01,2021,5,2306517,21.42970848083496,68.00752258300781,148.45213317871094
